Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,writer,director_nconst
3146,tt0116426,Thé Gớd ớf Cớớkéry,,1996,\N,88,8687.0,True,nm0159507,nm0159507
540,tt0043769,The Magic Box,,1951,\N,118,1241.0,True,nm0021504,nm0099589
3351,tt0120731,The Legend of 1900,,1998,\N,169,62087.0,True,nm0054621,nm0868153
1489,tt0070679,Shaft in Africa,,1973,\N,112,,False,nm0862781,nm0347086
1354,tt0067227,Thé Mérchánt ớf Fớúr Séásớns,,1972,\N,88,4616.0,True,nm0001202,nm0001202
2314,tt0093111,The Grand Highway,,1987,\N,104,1556.0,True,nm0399464,nm0399464
5836,tt11068166,All Hands on Deck,,2020,\N,95,1242.0,True,nm2145328,nm2145328
6840,tt1668200,Elle s'appelait Sarah,,2010,\N,111,16910.0,True,nm4058200,nm0660707
3817,tt0227277,Burnt Money,,2000,\N,125,6425.0,True,nm0276655,nm0686304
9494,tt7310916,John Leguizamo's Road to Broadway,,2018,\N,90,1414.0,True,nm0000491,nm2028460
5213,tt0756222,Art of the Devil 2,,2005,\N,100,1501.0,False,nm0995978,nm2197393
6954,tt1754920,Yeh Saali Zindagi,,2011,\N,130,4583.0,True,nm2286188,nm0592803
222,tt0031143,The Cat and the Canary,,1939,\N,72,2967.0,True,nm0216755,nm0637790
1506,tt0071230,Blazing Saddles,,1974,\N,93,133304.0,True,nm0000316,nm0000316
6914,tt1723596,Byớmkésh Bákshi,,2010,\N,136,1001.0,True,nm0051779,nm0244864
9247,tt6293032,My Son,,2017,\N,84,,False,nm0137228,nm0137228
367,tt0037055,The Mask of Dimitrios,,1944,\N,95,3530.0,True,nm0344246,nm0624535
730,tt0050858,The Pride and the Passion,,1957,\N,132,2733.0,False,nm0030018,nm0006452
3079,tt0114489,Soldier Boyz,,1995,\N,90,1205.0,False,nm0702912,nm0007128
983,tt0057344,Any Number Can Win,,1963,\N,118,3390.0,True,nm0002192,nm0894577
